timestamp,symbol,funding_rate,predicted_rate,open_interest
1754591471302,"ADA",-0.00292188988383586,-0.0037020493020981766,1354753.1806081138
1754562671302,"ADA",0.001252445793260082,0.001669998459986923,4840230.388280472
1754533871302,"ADA",0.000824687354914051,0.0017881608753928715,4614390.8495471515
1754505071302,"ADA",0.0004457769226566266,0.001126150086265073,4707166.793653997
1754476271302,"ADA",-0.003524807323210297,-0.004273297764446717,3687045.622792282
1754447471302,"ADA",-0.00020621559069606388,0.00013809222638670661,3209692.69906347
1754418671302,"ADA",-0.00035984912899074796,-0.0009095305701353494,4157493.759522282
1754389871302,"ADA",0.003279821034430035,0.003910200769355449,2194051.409697393
1754361071302,"ADA",0.0047234846161382646,0.0037619917481034387,2916147.6433588406
1754332271302,"ADA",0.0012155127242170583,0.000946820839279451,2559567.945459247
1754303471302,"ADA",0.0008277708638883419,0.0010284491317267377,4237894.43221126
1754274671302,"ADA",0.0021233779667035814,0.0029785734668364527,4498286.970213892
1754245871302,"ADA",-0.003990736865710758,-0.003750016551826486,4359266.145559363
1754217071302,"ADA",0.001343199719334467,0.002100223163683701,2083289.412452938
1754188271302,"ADA",0.0023912339408636175,0.0025249987827084402,2356008.110417505
1754159471302,"ADA",-0.0017308061953579612,-0.0017111729698107263,2999152.6868115207
1754130671302,"ADA",0.003575595912141698,0.004079664384758595,3230941.7538336595
1754101871302,"ADA",0.004224510633388214,0.00518414303520836,1382038.5019930394
1754073071302,"ADA",-0.004600501193779456,-0.0038001480236750903,3128726.6073593437
1754044271302,"ADA",-0.001293785808199044,-0.0006738024041078288,2534577.027299482
1754015471302,"ADA",-0.0038232855506356357,-0.004104417930193754,1466349.5874119285
1753986671302,"ADA",-0.0035515458184840944,-0.003857270214549421,3746057.486060035
1753957871302,"ADA",0.00022896327827713449,0.0010456300445326168,4796933.366445851
1753929071302,"ADA",0.004842899819302284,0.005112888242196081,5313711.411507515
1753900271302,"ADA",0.0004758428897925482,-0.0002945568861476908,4477975.494916543
1753871471302,"ADA",0.004098949765897848,0.004246280237161046,4491559.790650268
1753842671302,"ADA",0.0013042289087819502,0.0016182966178592579,3414362.598549855
1753813871302,"ADA",-0.00402310992277122,-0.0035916222521304394,5232890.8516399795
1753785071302,"ADA",-0.002963693907319014,-0.002360818198861685,1152749.132335075
1753756271302,"ADA",0.001486179143879367,0.0017963614337967342,5062533.8142906
1753727471302,"ADA",0.0004516672908412178,-0.0004888733498670597,1877252.2229834013
1753698671302,"ADA",-0.0009643586900733415,-0.0010010116098168242,4107373.117922034
1753669871302,"ADA",-0.002256358105609484,-0.002410341597285923,2381755.759472373
1753641071302,"ADA",0.0022757095876787337,0.0026505947263407723,1804269.3118255483
1753612271302,"ADA",0.00211931489671632,0.0024140640422563027,3946544.6234271987
1753583471302,"ADA",0.0015076656173572634,0.0020603012695349482,3754614.684197225
1753554671302,"ADA",-0.004389002006181242,-0.004346950676397917,3603646.6945344917
1753525871302,"ADA",-0.00011460007518506066,-0.0001298390607091253,1253857.3475443383
1753497071302,"ADA",-0.0035222395176354683,-0.0042762657221307575,5482402.649369496
1753468271302,"ADA",0.0005280845962813285,0.0011437934515813927,2838148.713327199
1753439471302,"ADA",-0.004748260273428086,-0.005481378123752236,3634674.273587031
1753410671302,"ADA",-0.0029100459008457548,-0.0036948533260613096,2206774.810279507
1753381871302,"ADA",0.003067573200781375,0.0028614136115887034,4314308.814569235
1753353071302,"ADA",-0.0017137234283056736,-0.0013200120150179552,4697345.584965918
1753324271302,"ADA",0.0024063893533184054,0.0025826819676497644,5888875.46046335
1753295471302,"ADA",0.0005829809708506951,0.0013899234937784608,1816294.666647227
